Course Title, Full Title, Prerequisite
ARTS 431,Jewelry Metals VI,ARTS 430 
ARTS 444,Interaction II,ARTS 344 
ARTS 445,Special Topics in New Media,NULL
ARTS 449,Advanced Seminar in New Media,NULL
ARTS 451,Advanced Studio II,ARTS 450 
ARTS 454,Advanced Drawing,NULL
ARTS 490,Senior Honors,NULL
ARTS 591,Graduate Studio,NULL
ARTS 595,Graduate Laboratory,NULL
ASRM 210,Theory of Interest,MATH 231 
ASRM 390,Introduction to Actuarial Research,NULL
ASRM 392,Actuarial Problem Solving,NULL
ASRM 401,Actuarial Statistics I,NULL
ASRM 406,Linear Algebra with Financial Applications,MATH 241 ASRM 210 MATH 210 FIN 221 
ASRM 409,Stochastic Processes for Finance and Insurance,ASRM 401 MATH 408 MATH 461 
ASRM 410,Investments and Financial Markets,STAT 409 STAT 410 
ASRM 450,Methods of Applied Statistics,NULL
ASRM 451,Basics of Statistical Learning,NULL
ASRM 453,Applied Bayesian Analysis,NULL
ASRM 461,Loss Models,ASRM 401 MATH 408 MATH 461 MATH 463 ASRM 402 MATH 409 MATH 464 
ASRM 472,Life Contingencies II,ASRM 471 MATH 471 
ASRM 490,Actuarial Research,ASRM 390 
ASRM 499,Topics in Actuarial Science,NULL
ASRM 551,Statistical Learning,NULL
ASRM 552,Predictive Analytics,ASRM 401 STAT 410 
ASRM 561,Loss Data Analytics & Credibility,ASRM 401 MATH 408 MATH 461 MATH 463 
ASRM 595,Advanced Topics in Actuarial Science and Risk Analytics,NULL
ASRM 598,Literature Seminar,NULL
ASST 199,Undergraduate Open Seminar,NULL
ASST 208,Cultures & Literatures of South Asia,NULL
ASST 390,Individual Study,NULL
ASST 590,Individual Study and Research,NULL
ASTR 100,Introduction to Astronomy,NULL
ASTR 121,Solar System and Worlds Beyond,NULL
ASTR 122,Stars and Galaxies,NULL
